Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Cao J., Bu Z., Wang Y., Yang H., Jiang J., Li H.-J.",57209867982;54789425900;57208825564;57210108487;24344212500;36682474500;,Detecting Prosumer-Community Groups in Smart Grids from the Multiagent Perspective,2019,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",57,10.1109/TSMC.2019.2899366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065875041&doi=10.1109%2fTSMC.2019.2899366&partnerID=40&md5=ace92752b9966143b679c3c792619759,Review,Final,0,Scopus,2-s2.0-85065875041
"Li H.-J., Wang L.",36682474500;57033052400;,Multi-scale asynchronous belief percolation model on multiplex networks,2019,New Journal of Physics,39,10.1088/1367-2630/aaf775,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061963406&doi=10.1088%2f1367-2630%2faaf775&partnerID=40&md5=d1fb7b4146eff4255ee92db10bffb4ff,Article,Final,1,Scopus,2-s2.0-85061963406
"Bu Z., Li H.-J., Cao J., Wang Z., Gao G.",54789425900;36682474500;57209867982;57192377511;56493842700;,Dynamic cluster formation game for attributed graph clustering,2019,IEEE Transactions on Cybernetics,56,10.1109/TCYB.2017.2772880,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037615303&doi=10.1109%2fTCYB.2017.2772880&partnerID=40&md5=77a1fcefe520d361b5fcbd0b1d2a4972,Article,Final,0,Scopus,2-s2.0-85037615303
"Xiang J., Li H.-J., Bu Z., Wang Z., Bao M.-H., Tang L., Li J.-M.",55228673000;36682474500;54789425900;57192377511;35108716000;56562211400;55255766800;,Critical analysis of (Quasi-)Surprise for community detection in complex networks,2018,Scientific Reports,7,10.1038/s41598-018-32582-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054050844&doi=10.1038%2fs41598-018-32582-0&partnerID=40&md5=5d242c71462822ae371ce4b3a0413245,Article,Final,1,Scopus,2-s2.0-85054050844
"Bu Z., Cao J., Li H.-J., Gao G., Tao H.",54789425900;57209867982;36682474500;56493842700;55827133000;,GLEAM: a graph clustering framework based on potential game optimization for large-scale social networks,2018,Knowledge and Information Systems,36,10.1007/s10115-017-1105-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029796039&doi=10.1007%2fs10115-017-1105-6&partnerID=40&md5=81cd09339d417959406b9b35edb3e84b,Article,Final,0,Scopus,2-s2.0-85029796039
"Li H.-J., Bu Z., Wang Z., Cao J., Shi Y.",36682474500;54789425900;57192377511;57209867982;7404963015;,Enhance the Performance of Network Computation by a Tunable Weighting Strategy,2018,IEEE Transactions on Emerging Topics in Computational Intelligence,65,10.1109/TETCI.2018.2829906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049444422&doi=10.1109%2fTETCI.2018.2829906&partnerID=40&md5=f0090b14df71d1b0157d59862485d0db,Article,Final,0,Scopus,2-s2.0-85049444422
"Gao G., Cao J., Bu Z., Li H.-J., Wu Z.",56493842700;57209867982;54789425900;36682474500;12762140000;,A generalized game theoretic framework for mining communities in complex networks,2018,Expert Systems with Applications,8,10.1016/j.eswa.2017.10.058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033561957&doi=10.1016%2fj.eswa.2017.10.058&partnerID=40&md5=e5b9053d808227b4afc4d3f0606e94c2,Article,Final,0,Scopus,2-s2.0-85033561957
"Xiang J., Tang Y.-N., Gao Y.-Y., Liu L., Hao Y., Li J.-M., Zhang Y., Chen S.",55228673000;56582959200;56582903200;57196456068;57196074224;55255766800;56523421800;57192607540;,Phase transition of Surprise optimization in community detection,2018,Physica A: Statistical Mechanics and its Applications,6,10.1016/j.physa.2017.09.090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031759301&doi=10.1016%2fj.physa.2017.09.090&partnerID=40&md5=cdd5d2a805bc9b317f4091d5a6443bb9,Article,Final,0,Scopus,2-s2.0-85031759301
"Li X., Jusup M., Wang Z., Li H., Shi L., Podobnik B., Eugene Stanley H., Havlin S., Boccaletti S.",55936260100;15136099300;57192377511;36682474500;56589311400;7004220065;35375959000;35397372900;7006291912;,Punishment diminishes the benefits of network reciprocity in social dilemma experiments,2018,Proceedings of the National Academy of Sciences of the United States of America,139,10.1073/pnas.1707505115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040198677&doi=10.1073%2fpnas.1707505115&partnerID=40&md5=e87e5c8ff9084ca6a27a6c72a7160fec,Article,Final,1,Scopus,2-s2.0-85040198677
"Shang R., Liu H., Jiao L., Esfahani A.M.G.",15030217300;56816142000;7102491544;57200911453;,Community mining using three closely joint techniques based on community mutual membership and refinement strategy,2017,Applied Soft Computing Journal,16,10.1016/j.asoc.2017.08.050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029836559&doi=10.1016%2fj.asoc.2017.08.050&partnerID=40&md5=fcca771e9fe3dcaded2e9df3cd5aeb20,Article,Final,0,Scopus,2-s2.0-85029836559
"Xiang J., Wang Z.-Z., Li H.-J., Zhang Y., Li F., Dong L.-P., Li J.-M., Guo L.-J.",55228673000;57192449916;36682474500;56523421800;57193006040;57190034131;55255766800;57045045100;,Community detection based on significance optimization in complex networks,2017,Journal of Statistical Mechanics: Theory and Experiment,4,10.1088/1742-5468/aa6b2c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020012841&doi=10.1088%2f1742-5468%2faa6b2c&partnerID=40&md5=859195ba0bc248d04ad9b0b6249a3a5b,Article,Final,0,Scopus,2-s2.0-85020012841
"Li H.-J., Bu Z., Li A., Liu Z., Shi Y.",36682474500;54789425900;56549293700;55714737900;7404963015;,Fast and Accurate Mining the Community Structure: Integrating Center Locating and Membership Optimization,2016,IEEE Transactions on Knowledge and Data Engineering,119,10.1109/TKDE.2016.2563425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982112292&doi=10.1109%2fTKDE.2016.2563425&partnerID=40&md5=4c51e4e9bffbad51e7dc5e121e464bce,Article,Final,0,Scopus,2-s2.0-84982112292
"Shi G., Proutiere A., Johansson M., Baras J.S., Johansson K.H.",45361541700;6603905943;57196959114;7006833292;25627785300;,The Evolution of beliefs over signed social networks,2016,Operations Research,37,10.1287/opre.2015.1448,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975522706&doi=10.1287%2fopre.2015.1448&partnerID=40&md5=a7ebead8a1772e9e4d03675ea17892ee,Article,Final,0,Scopus,2-s2.0-84975522706
"Chen J., Wang H., Wang L., Liu W.",36350603500;36610876200;57196330903;57193355644;,A dynamic evolutionary clustering perspective: Community detection in signed networks by reconstructing neighbor sets,2016,Physica A: Statistical Mechanics and its Applications,29,10.1016/j.physa.2015.12.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953898287&doi=10.1016%2fj.physa.2015.12.006&partnerID=40&md5=db7d5430be306652a83d648c813e2e61,Article,Final,0,Scopus,2-s2.0-84953898287
"Wu J., Zhang L., Li Y., Jiao Y.",22434215600;57196128894;57192522962;56605802800;,Partition signed social networks via clustering dynamics,2016,Physica A: Statistical Mechanics and its Applications,21,10.1016/j.physa.2015.09.066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946121472&doi=10.1016%2fj.physa.2015.09.066&partnerID=40&md5=6e22933ee8db9f71d62a7754e9a7269c,Article,Final,0,Scopus,2-s2.0-84946121472
Jiang J.Q.,37123974100;,Stochastic block model and exploratory analysis in signed networks,2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",18,10.1103/PhysRevE.91.062805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936940734&doi=10.1103%2fPhysRevE.91.062805&partnerID=40&md5=1a75560aacb8e3a9a339c858d6053f9d,Article,Final,0,Scopus,2-s2.0-84936940734
"Li H.-J., Daniels J.J.",36682474500;56506416400;,Social significance of community structure: Statistical view,2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",100,10.1103/PhysRevE.91.012801,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929477017&doi=10.1103%2fPhysRevE.91.012801&partnerID=40&md5=2126b86b28cb1ca4b31325b53bddffbd,Article,Final,0,Scopus,2-s2.0-84929477017
"Li Y., Liu J., Liu C.",34872657200;56430188900;55737226800;,A comparative analysis of evolutionary and memetic algorithms for community detection from signed social networks,2014,Soft Computing,48,10.1007/s00500-013-1060-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892678715&doi=10.1007%2fs00500-013-1060-4&partnerID=40&md5=7530a74b053a0e0c2116d792b337face,Article,Final,0,Scopus,2-s2.0-84892678715
"Pahwa S., Youssef M., Schumm P., Scoglio C., Schulz N.",36187218600;55046281700;55681075900;6701342531;23669361900;,Optimal intentional islanding to enhance the robustness of power grid networks,2013,Physica A: Statistical Mechanics and its Applications,38,10.1016/j.physa.2013.03.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878402337&doi=10.1016%2fj.physa.2013.03.029&partnerID=40&md5=3153d4440140aed53ea5a941c325469b,Article,Final,0,Scopus,2-s2.0-84878402337
"Montoya F.G., Baños R., Gil C., Espín A., Alcayde A., Gómez J.",7005663229;7004230256;35097503300;57194484217;35361580900;7402100969;,Minimization of voltage deviation and power losses in power networks using Pareto optimization methods,2010,Engineering Applications of Artificial Intelligence,35,10.1016/j.engappai.2010.01.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952537734&doi=10.1016%2fj.engappai.2010.01.011&partnerID=40&md5=b144715ebb0bbdd26d387bd992c74aae,Article,Final,0,Scopus,2-s2.0-79952537734
"Traag V.A., Bruggeman J.",35093318100;14044721700;,Community detection in networks with positive and negative links,2009,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",223,10.1103/PhysRevE.80.036115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349930102&doi=10.1103%2fPhysRevE.80.036115&partnerID=40&md5=2f9b42f6f6c8b01b40a2922de940744c,Article,Final,0,Scopus,2-s2.0-70349930102
"Gómez S., Jensen P., Arenas A.",17433927500;7402088970;7006307933;,Analysis of community structure in networks of correlated data,2009,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",142,10.1103/PhysRevE.80.016114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949122402&doi=10.1103%2fPhysRevE.80.016114&partnerID=40&md5=1cffffddd2887479cf5ac55abdb5da47,Article,Final,0,Scopus,2-s2.0-68949122402
"Yang B., Cheung W.K., Liu J.",57200878440;7202742782;35230430700;,Community mining from signed social networks,2007,IEEE Transactions on Knowledge and Data Engineering,282,10.1109/TKDE.2007.1061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34648844186&doi=10.1109%2fTKDE.2007.1061&partnerID=40&md5=de6775fa34f6b541a0dc2a22d1be581b,Article,Final,0,Scopus,2-s2.0-34648844186
"Raghavan U.N., Albert R., Kumara S.",6701477151;7202686127;7006663904;,Near linear time algorithm to detect community structures in large-scale networks,2007,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",1760,10.1103/PhysRevE.76.036106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548856552&doi=10.1103%2fPhysRevE.76.036106&partnerID=40&md5=17bc80dba99c10dbea7223ed4db1d60c,Article,Final,1,Scopus,2-s2.0-34548856552
"Baños R., Gil C., Paechter B., Ortega J.",7004230256;35097503300;8883618900;7402623866;,A hybrid meta-heuristic for multi-objective optimization: MOSATS,2007,Journal of Mathematical Modelling and Algorithms,21,10.1007/s10852-006-9041-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248139736&doi=10.1007%2fs10852-006-9041-6&partnerID=40&md5=463465ff54edd5b9ac331c61900fa65c,Article,Final,0,Scopus,2-s2.0-34248139736
Newman M.E.J.,7401940367;,Modularity and community structure in networks,2006,Proceedings of the National Academy of Sciences of the United States of America,5550,10.1073/pnas.0601602103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745012299&doi=10.1073%2fpnas.0601602103&partnerID=40&md5=8197b5ccb62a41a809841adb9552efe8,Article,Final,1,Scopus,2-s2.0-33745012299
Newman M.E.J.,7401940367;,Fast algorithm for detecting community structure in networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",2954,10.1103/PhysRevE.69.066133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42749100809&doi=10.1103%2fPhysRevE.69.066133&partnerID=40&md5=832bd7b67138897da9a5ee690faccd8b,Article,Final,0,Scopus,2-s2.0-42749100809
"Newman M.E.J., Girvan M.",7401940367;25624233200;,Finding and evaluating community structure in networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",7687,10.1103/PhysRevE.69.026113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37649028224&doi=10.1103%2fPhysRevE.69.026113&partnerID=40&md5=b016ee94204c2a5752612b9807e545c6,Article,Final,0,Scopus,2-s2.0-37649028224
"Wang X.F., Chen G.",7501870759;36012928800;,"Complex networks: Small-world, scale-free and beyond",2003,IEEE Circuits and Systems Magazine,990,10.1109/MCAS.2003.1228503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0942276880&doi=10.1109%2fMCAS.2003.1228503&partnerID=40&md5=882573b97287d830bf958af3b0194765,Review,Final,0,Scopus,2-s2.0-0942276880
"Barabási A.-L., Albert R.",7006567633;7202686127;,Emergence of scaling in random networks,1999,Science,22122,10.1126/science.286.5439.509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038483826&doi=10.1126%2fscience.286.5439.509&partnerID=40&md5=92d5f1b873ce4a330278d0d7b211343c,Article,Final,0,Scopus,2-s2.0-0038483826
